kernel,dtype,align,stride,N,build,median_ms,stdev_ms,gflops,cpe
saxpy,f64,aligned,1,4096,native,0.00041604504408650683,2.0802252204325344e-05,19.690175658712246,0.39613663865658605
saxpy,f64,aligned,1,8192,scalar,0.003108442555936414,0.0001554221277968207,5.270806748128676,1.4798493613466814
saxpy,f64,aligned,1,8192,auto,0.0007458308017009928,3.729154008504964e-05,21.967448867267922,0.35507081623948633
saxpy,f64,aligned,1,8192,native,0.0008011103061023586,4.0055515305117934e-05,20.4516155580535,0.38138796311025375
saxpy,f64,aligned,1,16384,scalar,0.005588720915980702,0.0002794360457990351,5.863237848628538,1.3303229719436485
saxpy,f64,aligned,1,16384,auto,0.0014807833256883088,7.403916628441545e-05,22.12882832454136,0.3524813824575442
saxpy,f64,aligned,1,16384,native,0.001499663599157061,7.498317995785306e-05,21.85023362467317,0.35697558817825553
saxpy,f64,aligned,1,32768,scalar,0.011757811342313539,0.000587890567115677,5.57382646242602,1.3993977122504517
saxpy,f64,aligned,1,32768,auto,0.011090673224359032,0.0005545336612179517,5.909109273552468,1.3199958976745676
saxpy,f64,aligned,1,32768,native,0.011784408677216737,0.0005892204338608369,5.561246371801696,1.4025632886091695
saxpy,f64,aligned,1,65536,scalar,0.023091678456623885,0.0011545839228311943,5.676157332876849,1.3741690976079277
saxpy,f64,aligned,1,65536,auto,0.021567103481263613,0.0010783551740631808,6.077403955235277,1.2834427425678725
saxpy,f64,aligned,1,65536,native,0.022440738015501713,0.0011220369007750857,5.840806122751288,1.3354321023629254
saxpy,f64,aligned,1,262144,scalar,0.10382171263047016,0.005191085631523509,5.049887800118307,1.5445887728074403
saxpy,f64,aligned,1,262144,auto,0.098772455439317,0.00493862277196585,5.308038538356554,1.4694693611653757
saxpy,f64,aligned,1,262144,native,0.09285519834290495,0.0046427599171452475,5.6462967002004225,1.3814364377492117
saxpy,f64,aligned,1,1048576,scalar,1.327316013180275,0.06636580065901375,1.5799944995579334,4.936726046946594
saxpy,f64,aligned,1,1048576,auto,1.3870556399601506,0.06935278199800753,1.5119451156698012,5.158917423100077
saxpy,f64,aligned,1,1048576,native,1.3902451622448053,0.06951225811224027,1.5084763874407332,5.170780308489552
saxpy,f64,aligned,1,4194304,scalar,5.903138811577147,0.2951569405788574,1.4210419689857856,5.488930074012488
saxpy,f64,aligned,1,4194304,auto,5.559839871959333,0.27799199359796667,1.5087858990880947,5.169719576988554
saxpy,f64,aligned,1,4194304,native,6.152307742506018,0.3076153871253009,1.3634896612930274,5.7206154336389226
saxpy,f64,aligned,1,16777216,scalar,22.06788085757103,1.1033940428785516,1.520509930997211,5.1298579778985385
saxpy,f64,aligned,1,16777216,auto,21.361984740382884,1.0680992370191442,1.5707544222971197,4.965766697376564
saxpy,f64,aligned,1,16777216,native,23.12591968781203,1.1562959843906016,1.4509447603800196,5.375807689575368
